date;heure;NO2;O3
;;microg/m3;microg/m3
01/02/2018;23;49;20
01/02/2018;24;38;28
02/02/2018;1;26;36
02/02/2018;2;21;42
02/02/2018;3;15;43
02/02/2018;4;17;41
02/02/2018;5;28;28
02/02/2018;6;42;16
02/02/2018;7;55;7
02/02/2018;8;60;4
02/02/2018;9;56;9
02/02/2018;10;43;21
02/02/2018;11;27;37
02/02/2018;12;25;39
02/02/2018;13;31;34
02/02/2018;14;31;35
02/02/2018;15;24;40
02/02/2018;16;29;33
02/02/2018;17;31;29
02/02/2018;18;45;16
02/02/2018;19;49;13
02/02/2018;20;43;17
02/02/2018;21;45;14
02/02/2018;22;39;20
02/02/2018;23;35;23
02/02/2018;24;30;26
03/02/2018;1;32;23
03/02/2018;2;26;29
03/02/2018;3;23;29
03/02/2018;4;20;34
03/02/2018;5;28;22
03/02/2018;6;47;4
03/02/2018;7;48;2
03/02/2018;8;53;0
03/02/2018;9;55;2
03/02/2018;10;54;3
03/02/2018;11;54;4
03/02/2018;12;43;13
03/02/2018;13;35;21
03/02/2018;14;36;25
03/02/2018;15;38;22
03/02/2018;16;44;20
03/02/2018;17;55;12
03/02/2018;18;50;14
03/02/2018;19;49;12
03/02/2018;20;50;9
03/02/2018;21;45;13
03/02/2018;22;43;13
03/02/2018;23;38;21
03/02/2018;24;33;24
04/02/2018;1;28;28
04/02/2018;2;24;32
04/02/2018;3;22;41
04/02/2018;4;16;39
04/02/2018;5;20;31
04/02/2018;6;20;32
04/02/2018;7;21;33
04/02/2018;8;20;29
04/02/2018;9;26;21
04/02/2018;10;20;24
04/02/2018;11;17;28
04/02/2018;12;16;35
04/02/2018;13;14;46
04/02/2018;14;14;47
04/02/2018;15;14;49
04/02/2018;16;16;48
04/02/2018;17;23;40
04/02/2018;18;29;32
04/02/2018;19;44;21
04/02/2018;20;42;20
04/02/2018;21;27;30
04/02/2018;22;29;27
04/02/2018;23;23;31
04/02/2018;24;20;32
05/02/2018;1;22;27
05/02/2018;2;21;26
05/02/2018;3;21;25
05/02/2018;4;22;24
05/02/2018;5;23;20
05/02/2018;6;33;11
05/02/2018;7;45;2
05/02/2018;8;46;3
05/02/2018;9;42;6
05/02/2018;10;43;4
05/02/2018;11;41;5
05/02/2018;12;40;5
05/02/2018;13;41;5
05/02/2018;14;41;9
05/02/2018;15;41;10
05/02/2018;16;42;11
05/02/2018;17;45;9
05/02/2018;18;49;5
05/02/2018;19;50;3
05/02/2018;20;47;1
05/02/2018;21;48;3
05/02/2018;22;40;9
05/02/2018;23;35;14
05/02/2018;24;31;16
06/02/2018;1;27;20
06/02/2018;2;25;21
06/02/2018;3;23;23
06/02/2018;4;25;21
06/02/2018;5;29;15
06/02/2018;6;35;9
06/02/2018;7;43;3
06/02/2018;8;44;2
06/02/2018;9;43;2
06/02/2018;10;40;4
06/02/2018;11;38;6
06/02/2018;12;33;9
06/02/2018;13;35;8
06/02/2018;14;39;6
06/02/2018;15;43;5
06/02/2018;16;48;4
06/02/2018;17;52;1
06/02/2018;18;54;2
06/02/2018;19;52;3
06/02/2018;20;55;1
06/02/2018;21;54;1
06/02/2018;22;54;1
06/02/2018;23;54;0
06/02/2018;24;54;1
07/02/2018;1;53;0
07/02/2018;2;50;0
07/02/2018;3;47;1
07/02/2018;4;43;2
07/02/2018;5;38;6
07/02/2018;6;38;7
07/02/2018;7;35;11
07/02/2018;8;34;12
07/02/2018;9;34;15
07/02/2018;10;30;22
07/02/2018;11;27;27
07/02/2018;12;29;25
07/02/2018;13;29;28
07/02/2018;14;31;29
07/02/2018;15;29;33
07/02/2018;16;38;27
07/02/2018;17;49;19
07/02/2018;18;55;14
07/02/2018;19;55;17
07/02/2018;20;47;24
07/02/2018;21;39;33
07/02/2018;22;36;33
07/02/2018;23;41;25
07/02/2018;24;44;22
08/02/2018;1;43;21
08/02/2018;2;46;17
08/02/2018;3;50;12
08/02/2018;4;49;11
08/02/2018;5;55;3
08/02/2018;6;57;2
08/02/2018;7;60;1
08/02/2018;8;62;2
08/02/2018;9;58;7
08/02/2018;10;58;13
08/02/2018;11;55;20
08/02/2018;12;49;30
08/02/2018;13;64;22
08/02/2018;14;79;15
08/02/2018;15;n/d;n/d
08/02/2018;16;n/d;n/d
08/02/2018;17;105;1
08/02/2018;18;107;1
