date;heure;NO2;O3
;;microg/m3;microg/m3
17/05/2019;5;32;35
17/05/2019;6;44;25
17/05/2019;7;52;16
17/05/2019;8;54;13
17/05/2019;9;56;12
17/05/2019;10;55;21
17/05/2019;11;48;33
17/05/2019;12;50;39
17/05/2019;13;33;67
17/05/2019;14;29;72
17/05/2019;15;25;80
17/05/2019;16;20;88
17/05/2019;17;30;72
17/05/2019;18;31;77
17/05/2019;19;29;79
17/05/2019;20;23;79
17/05/2019;21;21;81
17/05/2019;22;22;74
17/05/2019;23;32;57
17/05/2019;24;30;58
18/05/2019;1;31;48
18/05/2019;2;18;60
18/05/2019;3;15;59
18/05/2019;4;14;59
18/05/2019;5;20;52
18/05/2019;6;19;54
18/05/2019;7;17;52
18/05/2019;8;19;58
18/05/2019;9;26;51
18/05/2019;10;21;68
18/05/2019;11;13;80
18/05/2019;12;10;89
18/05/2019;13;10;95
18/05/2019;14;11;97
18/05/2019;15;14;94
18/05/2019;16;13;94
18/05/2019;17;34;64
18/05/2019;18;43;56
18/05/2019;19;50;39
18/05/2019;20;29;62
18/05/2019;21;30;40
18/05/2019;22;40;25
18/05/2019;23;40;25
18/05/2019;24;36;28
19/05/2019;1;34;24
19/05/2019;2;30;23
19/05/2019;3;32;22
19/05/2019;4;29;19
19/05/2019;5;37;14
19/05/2019;6;27;26
19/05/2019;7;21;28
19/05/2019;8;23;21
19/05/2019;9;23;20
19/05/2019;10;26;24
19/05/2019;11;30;34
19/05/2019;12;21;47
19/05/2019;13;14;65
19/05/2019;14;15;72
19/05/2019;15;28;52
19/05/2019;16;26;67
19/05/2019;17;24;67
19/05/2019;18;30;62
19/05/2019;19;34;51
19/05/2019;20;28;61
19/05/2019;21;21;68
19/05/2019;22;16;70
19/05/2019;23;15;73
19/05/2019;24;14;75
20/05/2019;1;11;79
20/05/2019;2;7;83
20/05/2019;3;8;78
20/05/2019;4;9;72
20/05/2019;5;18;57
20/05/2019;6;34;39
20/05/2019;7;42;31
20/05/2019;8;42;31
20/05/2019;9;39;35
20/05/2019;10;25;53
20/05/2019;11;23;59
20/05/2019;12;16;73
20/05/2019;13;16;74
20/05/2019;14;17;78
20/05/2019;15;19;78
20/05/2019;16;21;74
20/05/2019;17;21;78
20/05/2019;18;19;77
20/05/2019;19;20;75
20/05/2019;20;19;70
20/05/2019;21;20;66
20/05/2019;22;19;70
20/05/2019;23;22;58
20/05/2019;24;15;74
21/05/2019;1;12;80
21/05/2019;2;12;76
21/05/2019;3;12;71
21/05/2019;4;14;69
21/05/2019;5;25;51
21/05/2019;6;37;36
21/05/2019;7;52;28
21/05/2019;8;50;32
21/05/2019;9;46;43
21/05/2019;10;31;61
21/05/2019;11;18;79
21/05/2019;12;19;74
21/05/2019;13;21;65
21/05/2019;14;30;51
21/05/2019;15;29;65
21/05/2019;16;42;51
21/05/2019;17;47;50
21/05/2019;18;34;62
21/05/2019;19;32;66
