date;heure;NO2;O3
;;microg/m3;microg/m3
30/01/2017;16;48;8
30/01/2017;17;59;3
30/01/2017;18;60;2
30/01/2017;19;59;1
30/01/2017;20;60;1
30/01/2017;21;63;1
30/01/2017;22;55;6
30/01/2017;23;47;11
30/01/2017;24;37;20
31/01/2017;1;25;33
31/01/2017;2;20;32
31/01/2017;3;22;26
31/01/2017;4;23;23
31/01/2017;5;40;9
31/01/2017;6;52;0
31/01/2017;7;56;0
31/01/2017;8;64;1
31/01/2017;9;62;1
31/01/2017;10;61;1
31/01/2017;11;54;1
31/01/2017;12;55;3
31/01/2017;13;60;3
31/01/2017;14;68;4
31/01/2017;15;74;2
31/01/2017;16;73;2
31/01/2017;17;66;1
31/01/2017;18;60;0
31/01/2017;19;55;1
31/01/2017;20;51;1
31/01/2017;21;46;1
31/01/2017;22;44;1
31/01/2017;23;43;1
31/01/2017;24;40;2
01/02/2017;1;31;11
01/02/2017;2;23;18
01/02/2017;3;21;19
01/02/2017;4;18;22
01/02/2017;5;21;18
01/02/2017;6;31;12
01/02/2017;7;41;5
01/02/2017;8;45;2
01/02/2017;9;45;4
01/02/2017;10;45;13
01/02/2017;11;35;23
01/02/2017;12;n/d;n/d
01/02/2017;13;n/d;n/d
01/02/2017;14;44;17
01/02/2017;15;46;18
01/02/2017;16;42;19
01/02/2017;17;40;18
01/02/2017;18;39;18
01/02/2017;19;45;14
01/02/2017;20;53;6
01/02/2017;21;52;3
01/02/2017;22;50;3
01/02/2017;23;44;7
01/02/2017;24;44;7
02/02/2017;1;43;9
02/02/2017;2;29;22
02/02/2017;3;27;20
02/02/2017;4;21;24
02/02/2017;5;28;18
02/02/2017;6;44;6
02/02/2017;7;54;2
02/02/2017;8;57;4
02/02/2017;9;59;7
02/02/2017;10;50;18
02/02/2017;11;40;29
02/02/2017;12;34;37
02/02/2017;13;49;24
02/02/2017;14;n/d;23
02/02/2017;15;60;13
02/02/2017;16;57;15
02/02/2017;17;50;25
02/02/2017;18;52;27
02/02/2017;19;50;27
02/02/2017;20;42;35
02/02/2017;21;32;43
02/02/2017;22;25;49
02/02/2017;23;23;54
02/02/2017;24;15;60
03/02/2017;1;12;64
03/02/2017;2;12;63
03/02/2017;3;12;66
03/02/2017;4;12;63
03/02/2017;5;20;55
03/02/2017;6;33;48
03/02/2017;7;52;28
03/02/2017;8;60;22
03/02/2017;9;57;28
03/02/2017;10;39;41
03/02/2017;11;31;50
03/02/2017;12;21;61
03/02/2017;13;20;61
03/02/2017;14;25;57
03/02/2017;15;23;60
03/02/2017;16;23;62
03/02/2017;17;24;60
03/02/2017;18;26;53
03/02/2017;19;37;44
03/02/2017;20;24;58
03/02/2017;21;21;62
03/02/2017;22;30;46
03/02/2017;23;26;52
03/02/2017;24;25;54
04/02/2017;1;24;54
04/02/2017;2;24;54
04/02/2017;3;14;60
04/02/2017;4;12;61
04/02/2017;5;19;55
04/02/2017;6;23;55
04/02/2017;7;16;63
04/02/2017;8;21;58
04/02/2017;9;29;49
04/02/2017;10;45;35
04/02/2017;11;41;39
04/02/2017;12;39;36
04/02/2017;13;40;38
04/02/2017;14;16;55
04/02/2017;15;22;48
04/02/2017;16;24;54
04/02/2017;17;n/d;n/d
04/02/2017;18;n/d;n/d
04/02/2017;19;n/d;n/d
04/02/2017;20;n/d;n/d
04/02/2017;21;n/d;n/d
04/02/2017;22;n/d;n/d
04/02/2017;23;n/d;n/d
04/02/2017;24;n/d;n/d
05/02/2017;1;n/d;n/d
05/02/2017;2;n/d;n/d
05/02/2017;3;n/d;n/d
05/02/2017;4;n/d;n/d
05/02/2017;5;n/d;n/d
05/02/2017;6;n/d;n/d
05/02/2017;7;n/d;n/d
05/02/2017;8;n/d;n/d
05/02/2017;9;n/d;n/d
05/02/2017;10;n/d;n/d
05/02/2017;11;n/d;n/d
05/02/2017;12;n/d;n/d
05/02/2017;13;n/d;n/d
05/02/2017;14;n/d;n/d
05/02/2017;15;n/d;n/d
05/02/2017;16;n/d;n/d
05/02/2017;17;n/d;n/d
05/02/2017;18;n/d;n/d
05/02/2017;19;n/d;n/d
05/02/2017;20;n/d;n/d
05/02/2017;21;n/d;n/d
05/02/2017;22;n/d;n/d
05/02/2017;23;n/d;n/d
05/02/2017;24;n/d;n/d
06/02/2017;1;n/d;n/d
06/02/2017;2;n/d;n/d
06/02/2017;3;n/d;n/d
06/02/2017;4;n/d;n/d
06/02/2017;5;n/d;n/d
06/02/2017;6;n/d;n/d
06/02/2017;7;n/d;n/d
06/02/2017;8;n/d;n/d
06/02/2017;9;n/d;n/d
06/02/2017;10;n/d;n/d
06/02/2017;11;n/d;n/d
