X,Y,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_l93,y_l93,ObjectId
2.23,43.6106,TARN,CASTRES,81065,Castres-Travet Urbain,FR50053,Urbaine,Fond,NO2,8,4.7,ug.m-3,horaire,2020-03-16T18:00:00.000Z,2020-03-16T19:00:00.000Z,t,637820,6279364,7744
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - urbain,FR50220,Urbaine,Fond,NO2,8,25.9,ug.m-3,horaire,2020-03-16T18:00:00.000Z,2020-03-16T19:00:00.000Z,t,691771,6177360,7745
0.744722,43.0944,HAUTE-GARONNE,MIRAMONT-DE-COMMINGES,31344,Saint Gaudens-Miramont Industriel,FR50015,Urbaine,Industrielle,SO2,1,0,ug.m-3,horaire,2020-03-16T18:00:00.000Z,2020-03-16T19:00:00.000Z,t,516263,6224304,7746
0.719131,43.1049,HAUTE-GARONNE,SAINT-GAUDENS,31483,Saint-Gaudens urbain,FR50825,Urbaine,Fond,SO2,1,0.9,ug.m-3,horaire,2020-03-16T18:00:00.000Z,2020-03-16T19:00:00.000Z,t,514212,6225531,7747
0.718889,43.1064,HAUTE-GARONNE,SAINT-GAUDENS,31483,Saint Gaudens-Daurat Industriel,FR50016,Urbaine,Industrielle,SO2,1,0.4,ug.m-3,horaire,2020-03-16T18:00:00.000Z,2020-03-16T19:00:00.000Z,t,514197,6225698,7748
0.744722,43.0944,HAUTE-GARONNE,MIRAMONT-DE-COMMINGES,31344,Saint Gaudens-Miramont Industriel,FR50015,Urbaine,Industrielle,H2S,11,0,ug.m-3,horaire,2020-03-16T18:00:00.000Z,2020-03-16T19:00:00.000Z,t,516263,6224304,7749
0.718889,43.1064,HAUTE-GARONNE,SAINT-GAUDENS,31483,Saint Gaudens-Daurat Industriel,FR50016,Urbaine,Industrielle,H2S,11,0.2,ug.m-3,horaire,2020-03-16T18:00:00.000Z,2020-03-16T19:00:00.000Z,t,514197,6225698,7750
0.179722,43.6303,GERS,PEYRUSSE-VIEILLE,32317,Peyrusse Vieille Rural,FR50020,Rurale Nationale,Fond,PM10,5,3.2,ug.m-3,horaire,2020-03-16T18:00:00.000Z,2020-03-16T19:00:00.000Z,t,472377,6285316,7751
4.37422,43.8344,GARD,NIMES,30189,Nîmes Sud - urbain,FR50211,Urbaine,Fond,PM10,5,31.9,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,810536,6304894,7752
1.46765,43.6431,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Rte Albi Trafic,FR50054,Urbaine,Trafic,PM10,5,16.5,ug.m-3,horaire,2020-03-16T18:00:00.000Z,2020-03-16T19:00:00.000Z,t,576334,6283873,7753
1.59583,43.8039,HAUTE-GARONNE,BESSIERES,31066,Bessières-ECONOTRE,FR50047,Rurale proche Zone Urbaine,Industrielle,PM10,5,14.2,ug.m-3,horaire,2020-03-16T16:00:00.000Z,2020-03-16T17:00:00.000Z,t,586995,6301548,7754
1.41518,43.6103,HAUTE-GARONNE,TOULOUSE,31555,Toulouse Port de l Embouchure,FR50821,Urbaine,Trafic,PM10,5,13.4,ug.m-3,horaire,2020-03-16T18:00:00.000Z,2020-03-16T19:00:00.000Z,t,572027,6280312,7755
4.69736,44.0536,GARD,SAINT-LAURENT-DES-ARBRES,30278,St Laurent des Arbres - périurbain,FR50214,Périurbaine,Fond,PM10,5,14.6,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,836000,6329750,7756
1.376,43.634,HAUTE-GARONNE,BLAGNAC,31069,Blagnac Aéroport Trafic ,FR50044,Périurbaine,Trafic,PM10,5,12.3,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,568918,6283009,7757
